,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,No_Die,Lot_Num,Wafer_Num,Datetime
35,1,Photo,0.8273261081386006,13.068,14.989,20.0,200.843,90.001,499.291,4003.0,4996.567,5.066,92.554,30.007,NOLSM3629,2,9,17-02-2019 PM 9:04:30
36,2,Photo,0.9896493957161661,17.634,14.914,19.998,197.875,90.0,505.532,4067.864,5103.516,4.946,94.745,30.0,NOLSM37210,2,10,17-02-2019 PM 9:04:30
37,2,Photo,1.0649797432434742,15.585,14.848,20.001,204.07,90.001,503.348,4024.495,5011.014,4.938,89.548,30.0,NOLSM38211,2,11,17-02-2019 PM 9:04:30
38,2,Photo,1.2840005812065163,19.247,14.934,19.994,201.964,90.0,500.256,4021.57,5107.302,4.986,92.897,29.999,NOLSM39212,2,12,17-02-2019 PM 9:04:30
39,3,Photo,1.0911639515205387,15.3,15.023,20.001,200.642,89.999,503.656,4030.974,5017.72,5.07,90.439,30.006,NOLSM40213,2,13,17-02-2019 PM 9:04:30
40,3,Photo,1.151241901570967,14.855,15.019,20.003,198.568,90.001,506.09,4016.14,4899.117,4.999,93.896,29.996,NOLSM41214,2,14,17-02-2019 PM 9:04:30
41,3,Photo,0.953524846578574,15.425,14.776,20.0,196.989,90.0,500.146,3995.851,5040.55,4.989,92.294,30.003,NOLSM42215,2,15,17-02-2019 PM 9:04:30
42,1,Photo,1.1665797705943692,15.302,15.033,20.001,201.671,90.0,503.13,4068.598,5097.52,5.04,93.479,29.995,NOLSM43216,2,16,17-02-2019 PM 9:04:30
43,1,Photo,1.04221012324997,19.33,14.895,19.999,200.472,90.0,501.31,4032.002,5025.811,4.856,92.399,29.999,NOLSM44217,2,17,17-02-2019 PM 9:04:30
44,1,Photo,0.9392382775773944,14.202,15.039,20.003,195.62,90.001,502.024,4061.169,4970.858,4.994,91.181,30.004,NOLSM45218,2,18,17-02-2019 PM 9:04:30
45,2,Photo,1.1345364878032103,15.979,14.981,20.001,204.061,89.999,504.875,4055.237,5070.02,5.038,93.341,29.993,NOLSM46219,2,19,17-02-2019 PM 9:04:30
46,2,Photo,1.2678721003777842,15.467,15.167,19.999,201.84,89.999,500.488,4080.602,4922.31,5.002,92.275,30.002,NOLSM47220,2,20,17-02-2019 PM 9:04:30
47,2,Photo,1.116070360177097,16.292,14.955,20.003,203.373,90.0,502.747,3892.298,5020.408,4.925,92.602,30.002,NOLSM48221,2,21,17-02-2019 PM 9:04:30
48,3,Photo,0.9806492418673822,15.389,14.924,20.003,199.778,89.999,497.443,4003.755,4987.505,5.052,90.014,30.004,NOLSM49222,2,22,17-02-2019 PM 9:04:30
49,3,Photo,0.903451341048565,15.637,15.084,19.999,203.21,89.999,495.55,4108.316,5063.6,5.045,91.947,29.998,NOLSM50223,2,23,17-02-2019 PM 9:04:30
50,3,Photo,0.8336467290039147,15.27,15.1,19.999,197.994,90.0,502.14,3948.707,4974.792,5.05,91.942,29.994,NOLSM51224,2,24,17-02-2019 PM 9:04:30
51,1,Photo,0.8053770149917092,15.085,14.983,20.003,200.863,90.002,503.209,3957.686,5089.309,4.91,94.751,29.996,NOLSM52225,2,25,17-02-2019 PM 9:04:30
52,1,Photo,1.063748952973555,17.717,15.013,19.99,201.966,90.0,500.521,4004.511,4966.455,4.988,91.712,29.997,NOLSM53226,2,26,17-02-2019 PM 9:04:30
53,1,Photo,1.0152694917861842,19.372,14.947,19.997,198.005,90.001,504.722,3886.323,4933.834,4.946,92.482,30.004,NOLSM54227,2,27,17-02-2019 PM 9:04:30
54,2,Photo,0.8127147472606369,13.842,14.953,20.003,199.98,90.0,505.516,3954.921,4941.1,4.98,93.185,30.003,NOLSM5531,3,1,17-02-2019 PM 9:04:30
55,2,Photo,1.2092300723089282,17.833,14.807,19.999,198.395,90.001,497.685,3924.908,5026.764,5.063,90.982,30.014,NOLSM5632,3,2,17-02-2019 PM 9:04:30
56,2,Photo,1.128600488897246,16.232,15.09,19.999,201.909,90.001,496.208,4037.761,4976.391,5.011,91.422,29.997,NOLSM5733,3,3,17-02-2019 PM 9:04:30
57,3,Photo,1.3011547205935143,13.442,15.049,20.003,198.351,90.0,499.431,3961.091,4920.271,4.973,91.031,30.0,NOLSM5834,3,4,17-02-2019 PM 9:04:30
58,3,Photo,0.7568676387630557,12.891,14.913,19.998,199.5,90.0,505.257,4033.208,5053.188,4.962,92.134,29.994,NOLSM5935,3,5,17-02-2019 PM 9:04:30
59,1,Photo,0.9277722696114463,18.777,14.959,20.002,205.983,89.999,500.75,4116.904,5072.106,5.112,92.043,30.003,NOLSM6036,3,6,17-02-2019 PM 9:04:30
60,1,Photo,0.7408160823261936,14.91,15.116,20.007,200.051,89.999,501.183,4040.747,5003.556,4.965,91.804,30.004,NOLSM6137,3,7,17-02-2019 PM 9:04:30
61,1,Photo,0.9545889673327749,15.465,15.091,20.001,198.72,90.0,502.662,4043.013,4961.961,4.981,91.097,30.0,NOLSM6238,3,8,17-02-2019 PM 9:04:30
62,2,Photo,1.0122053368433648,15.725,15.281,19.996,200.449,89.999,500.371,4077.17,5073.0,4.929,91.772,29.994,NOLSM6339,3,9,17-02-2019 PM 9:04:30
63,2,Photo,1.3020692661413014,15.632,14.885,19.994,202.281,90.001,500.916,4075.85,4960.128,5.013,91.215,29.993,NOLSM64310,3,10,17-02-2019 PM 9:04:30
64,3,Photo,0.994149472640558,13.804,14.921,19.996,201.434,89.999,498.175,4145.335,4928.601,5.031,93.44,29.999,NOLSM65311,3,11,17-02-2019 PM 9:04:30
65,3,Photo,0.6712721584984358,15.4,14.906,19.997,196.285,90.0,503.776,3977.193,5124.585,5.091,93.508,29.989,NOLSM66312,3,12,17-02-2019 PM 9:04:30
66,3,Photo,1.138634848458948,12.904,15.059,20.003,198.863,90.0,502.726,3999.227,5071.578,5.02,93.226,30.01,NOLSM67313,3,13,17-02-2019 PM 9:04:30
67,1,Photo,0.7946845245217866,15.582,15.016,19.997,201.257,90.0,505.462,3953.658,4915.382,5.093,95.561,30.013,NOLSM68314,3,14,17-02-2019 PM 9:04:30
68,1,Photo,0.8745064018188344,12.78,15.05,19.999,209.521,90.001,503.288,4023.476,4945.685,5.008,92.89,30.007,NOLSM69315,3,15,17-02-2019 PM 9:04:30
69,2,Photo,0.6273355100087181,19.284,14.954,19.991,198.731,90.0,499.857,4027.911,5027.592,4.865,92.973,30.008,NOLSM70316,3,16,17-02-2019 PM 9:04:30
70,2,Photo,0.8684550163250653,11.949,14.876,19.994,200.343,90.0,500.314,4118.195,5008.0,4.981,92.093,30.002,NOLSM71317,3,17,17-02-2019 PM 9:04:30
71,2,Photo,1.2683592881929604,15.648,14.872,20.003,201.432,90.001,497.273,4033.358,5054.176,4.964,91.561,30.01,NOLSM72318,3,18,17-02-2019 PM 9:04:30
72,3,Photo,0.8684550163250653,15.602,14.847,20.003,198.228,90.0,499.729,3998.697,5129.785,5.02,91.76,30.011,NOLSM73319,3,19,17-02-2019 PM 9:04:30
73,3,Photo,1.1456777038923742,14.613,15.067,19.999,197.041,89.999,497.181,3976.988,5061.703,5.017,89.895,29.997,NOLSM74320,3,20,17-02-2019 PM 9:04:30
74,1,Photo,0.8527026103010307,16.195,15.135,20.002,198.842,90.0,502.391,4098.889,4984.01,5.059,89.606,29.997,NOLSM75321,3,21,17-02-2019 PM 9:04:30
75,1,Photo,1.2016615668643906,12.336,15.124,19.999,203.693,90.001,495.313,4021.077,4975.578,5.143,92.11,30.004,NOLSM76322,3,22,17-02-2019 PM 9:04:30
76,2,Photo,0.6172712354057335,13.594,15.12,19.995,200.312,90.002,500.671,3979.832,4956.736,4.997,91.121,29.998,NOLSM77323,3,23,17-02-2019 PM 9:04:30
77,2,Photo,1.2548718781517632,16.542,15.053,19.991,198.111,90.001,498.685,3987.278,4999.875,4.912,90.93,30.006,NOLSM78324,3,24,17-02-2019 PM 9:04:30
78,2,Photo,1.1742807569360159,15.027,15.015,19.999,203.144,90.0,502.366,4108.68,5013.613,5.14,89.345,29.999,NOLSM79325,3,25,17-02-2019 PM 9:04:30
79,3,Photo,1.321176430366331,18.414,14.97,19.999,201.722,90.0,501.242,4031.762,5023.778,5.045,91.744,30.001,NOLSM80326,3,26,17-02-2019 PM 9:04:30
80,3,Photo,0.9381955247098241,15.075,15.008,19.994,200.676,90.0,497.462,3913.943,4939.326,5.034,91.56,29.994,NOLSM81327,3,27,17-02-2019 PM 9:04:30
81,3,Photo,0.7735559582215081,15.502,14.893,20.001,195.138,90.001,500.413,4046.579,4869.066,5.049,93.689,29.997,NOLSM8241,4,1,17-02-2019 PM 9:04:30
82,1,Photo,1.1576522675601293,15.465,14.915,20.002,201.026,90.0,500.148,4136.72,5019.0,5.008,92.986,30.012,NOLSM8342,4,2,17-02-2019 PM 9:04:30
83,1,Photo,0.8406468486640797,16.454,14.998,20.004,201.539,90.0,500.669,4083.354,4977.04,4.99,92.681,30.014,NOLSM8443,4,3,17-02-2019 PM 9:04:30
84,1,Photo,0.9412554060753175,15.252,15.127,19.999,197.82,90.0,497.377,3980.806,5002.594,5.022,92.926,30.005,NOLSM8544,4,4,17-02-2019 PM 9:04:30
85,2,Photo,1.0766679772303798,15.583,14.976,19.993,202.082,90.001,502.697,4052.657,4994.874,4.942,91.783,29.996,NOLSM8645,4,5,17-02-2019 PM 9:04:30
86,2,Photo,0.6375450862407904,15.093,15.116,19.997,193.096,90.0,500.109,4104.308,5050.626,4.937,93.257,30.007,NOLSM8746,4,6,17-02-2019 PM 9:04:30
87,2,Photo,0.7756542846886272,16.544,14.976,20.002,195.162,90.0,495.129,4001.948,5009.968,5.041,89.432,30.0,NOLSM8847,4,7,17-02-2019 PM 9:04:30
88,3,Photo,1.1572291834048443,18.276,14.928,20.003,201.99,90.0,503.628,3944.298,4956.409,4.993,91.804,29.996,NOLSM8948,4,8,17-02-2019 PM 9:04:30
89,3,Photo,1.0382228756047112,14.747,15.003,19.996,196.985,90.0,503.099,4061.166,4931.613,5.179,92.234,30.006,NOLSM9049,4,9,17-02-2019 PM 9:04:30
90,1,Photo,0.9707772782440726,16.144,14.954,19.997,195.803,90.0,504.119,4022.634,5101.341,5.132,89.756,30.003,NOLSM91410,4,10,17-02-2019 PM 9:04:30
91,1,Photo,1.194084514265201,14.764,15.196,20.0,199.601,90.0,503.177,4065.37,4999.136,5.119,94.657,29.996,NOLSM92411,4,11,17-02-2019 PM 9:04:30
92,1,Photo,1.2389399818800322,16.716,14.958,19.991,197.509,90.001,500.365,4057.42,5067.641,5.047,91.811,30.005,NOLSM93412,4,12,17-02-2019 PM 9:04:30
93,2,Photo,1.012453204328279,15.288,15.04,19.994,202.281,90.0,499.337,4026.057,5041.291,4.863,90.859,29.999,NOLSM94413,4,13,17-02-2019 PM 9:04:30
94,2,Photo,1.0408297577736372,16.749,14.894,20.002,202.312,90.0,505.182,4096.192,4932.401,4.941,91.743,29.996,NOLSM95414,4,14,17-02-2019 PM 9:04:30
95,2,Photo,1.0759884784355287,13.759,15.036,19.99,203.616,90.0,499.055,4031.749,4946.118,4.993,93.026,30.012,NOLSM96415,4,15,17-02-2019 PM 9:04:30
96,3,Photo,0.9714482298842715,15.035,15.196,20.002,198.02,90.0,500.577,4016.13,5071.191,5.014,90.066,30.01,NOLSM97416,4,16,17-02-2019 PM 9:04:30
97,3,Photo,1.0837663891690457,13.455,14.799,20.0,202.098,90.001,500.395,4040.087,5026.831,4.983,92.533,30.001,NOLSM98417,4,17,17-02-2019 PM 9:04:30
98,1,Photo,0.8183815107950563,15.751,14.906,20.003,199.508,90.0,497.893,4096.551,5047.814,5.058,94.438,30.01,NOLSM99418,4,18,17-02-2019 PM 9:04:30
99,1,Photo,1.0259149729055197,13.394,15.181,20.0,194.798,90.0,496.399,4031.379,5026.456,5.101,92.813,30.001,NOLSM100419,4,19,17-02-2019 PM 9:04:30
100,1,Photo,1.2390767363544675,17.708,15.055,20.0,197.427,90.0,499.117,3988.096,4927.405,5.035,93.802,30.008,NOLSM101420,4,20,17-02-2019 PM 9:04:30
101,2,Photo,0.9946323868784082,13.298,15.13,19.995,202.189,90.0,501.382,3975.371,4917.206,4.979,90.63,29.997,NOLSM102421,4,21,17-02-2019 PM 9:04:30
102,2,Photo,1.0883049282893724,18.056,14.958,20.001,199.058,90.0,496.427,4009.891,5190.079,4.868,92.222,29.996,NOLSM103422,4,22,17-02-2019 PM 9:04:30
103,2,Photo,1.0921340535735653,12.997,15.085,19.994,205.939,90.0,499.867,4022.109,4960.439,4.933,92.242,30.011,NOLSM104423,4,23,17-02-2019 PM 9:04:30
104,3,Photo,0.799671789261355,15.469,15.181,19.997,194.411,90.0,497.347,4093.277,5044.471,4.922,92.307,30.001,NOLSM105424,4,24,17-02-2019 PM 9:04:30
105,3,Photo,0.957042000717961,15.226,14.986,20.0,197.806,90.001,497.615,4015.737,4900.137,5.02,94.282,29.99,NOLSM106425,4,25,17-02-2019 PM 9:04:30
106,1,Photo,0.9113318176379084,16.107,15.021,19.995,205.928,90.0,503.624,4023.31,5034.715,4.995,90.466,30.002,NOLSM107426,4,26,17-02-2019 PM 9:04:30
107,1,Photo,0.9313065180601379,18.554,14.882,19.995,203.542,90.001,494.204,3975.695,4989.248,5.019,93.629,29.997,NOLSM108427,4,27,17-02-2019 PM 9:04:30
108,1,Photo,1.0389835723687584,18.3,15.1,19.997,201.257,90.001,499.686,3943.713,5026.31,5.028,90.872,29.995,NOLSM10951,5,1,17-02-2019 PM 9:04:30
109,2,Photo,1.2764192550300004,13.098,15.025,20.001,198.825,89.999,504.969,4029.214,5015.85,5.039,92.275,29.998,NOLSM11052,5,2,17-02-2019 PM 9:04:30
110,2,Photo,0.9950554710336927,14.994,15.001,20.007,197.121,89.998,496.889,3964.71,5077.469,5.033,91.338,29.993,NOLSM11153,5,3,17-02-2019 PM 9:04:30
111,3,Photo,0.9689310928391939,15.261,14.931,20.001,200.823,89.999,499.503,3978.745,5119.234,5.072,90.277,30.005,NOLSM11254,5,4,17-02-2019 PM 9:04:30
112,3,Photo,1.2347561496777721,16.651,15.044,20.001,196.001,90.0,502.551,4049.1,5022.182,4.973,93.44,30.001,NOLSM11355,5,5,17-02-2019 PM 9:04:30
113,3,Photo,1.1108266807979623,13.638,15.021,20.005,198.211,90.001,503.268,4042.033,4947.659,4.968,93.614,30.001,NOLSM11456,5,6,17-02-2019 PM 9:04:30
114,1,Photo,1.3044453751346177,15.127,14.979,19.996,198.999,90.001,501.653,4038.907,5011.734,4.961,93.29,30.003,NOLSM11557,5,7,17-02-2019 PM 9:04:30
115,1,Photo,0.8655190687020291,16.414,15.106,19.993,201.92,89.998,499.417,3942.446,5021.166,4.967,93.298,30.002,NOLSM11658,5,8,17-02-2019 PM 9:04:30
116,1,Photo,0.7801073522624318,11.936,15.004,19.997,202.265,89.999,505.718,4018.743,5027.501,4.959,91.902,30.005,NOLSM11759,5,9,17-02-2019 PM 9:04:30
117,2,Photo,1.3726644899912817,21.373,15.057,20.001,197.708,90.0,502.85,4126.569,5006.296,4.997,90.552,29.999,NOLSM118510,5,10,17-02-2019 PM 9:04:30
118,2,Photo,1.216849860681379,15.277,15.01,19.996,204.744,89.999,498.878,4085.753,4983.395,4.988,92.566,29.999,NOLSM119511,5,11,17-02-2019 PM 9:04:30
119,2,Photo,0.9453665874630335,15.312,15.07,19.999,205.209,89.999,502.975,4057.629,5098.876,5.1,91.778,30.001,NOLSM120512,5,12,17-02-2019 PM 9:04:30
120,3,Photo,0.8807244568283219,13.894,15.116,19.999,199.499,90.0,505.046,4075.213,4973.462,4.98,92.347,29.992,NOLSM121513,5,13,17-02-2019 PM 9:04:30
121,3,Photo,1.2217131916784902,16.37,15.025,20.0,195.352,90.001,499.926,4030.034,5083.912,4.907,90.966,29.999,NOLSM122514,5,14,17-02-2019 PM 9:04:30
122,3,Photo,0.7031231303099198,17.277,14.828,20.002,200.66,89.999,501.827,4069.518,5048.748,4.927,94.668,29.996,NOLSM123515,5,15,17-02-2019 PM 9:04:30
123,1,Photo,0.6132070633686045,16.67,15.0,19.994,199.982,90.0,501.745,3981.754,5045.605,4.951,92.262,29.986,NOLSM124516,5,16,17-02-2019 PM 9:04:30
124,1,Photo,0.7631754388963914,14.098,14.961,19.997,198.47,90.0,504.804,4012.451,5045.011,5.013,90.449,29.999,NOLSM125517,5,17,17-02-2019 PM 9:04:30
125,1,Photo,1.1268269543069112,14.436,14.957,20.009,199.456,90.001,500.564,4093.798,5014.006,5.072,93.591,29.99,NOLSM126518,5,18,17-02-2019 PM 9:04:30
126,2,Photo,1.0793346894818714,12.82,15.092,20.001,201.983,90.0,505.076,4014.388,4827.04,4.925,92.35,29.995,NOLSM127519,5,19,17-02-2019 PM 9:04:30
127,2,Photo,1.231157797569189,17.163,14.785,19.995,197.55,90.001,501.623,3965.084,5068.244,5.012,89.841,29.999,NOLSM128520,5,20,17-02-2019 PM 9:04:30
128,2,Photo,1.2527692781073179,12.729,14.934,20.0,196.622,89.998,498.289,4026.686,5014.44,5.066,90.887,30.001,NOLSM129521,5,21,17-02-2019 PM 9:04:30
129,3,Photo,0.8647370040513513,14.748,15.08,19.999,195.123,90.0,500.915,4007.021,4980.246,5.094,93.99,29.997,NOLSM130522,5,22,17-02-2019 PM 9:04:30
130,3,Photo,0.9599694011863451,14.611,14.992,19.994,200.795,90.001,504.609,3913.49,5001.761,4.973,91.432,30.003,NOLSM131523,5,23,17-02-2019 PM 9:04:30
131,3,Photo,0.7993384502299185,15.808,14.88,19.997,198.772,90.001,503.122,3993.101,5074.118,5.033,90.716,30.003,NOLSM132524,5,24,17-02-2019 PM 9:04:30
132,1,Photo,1.1894134942477648,14.678,14.881,19.998,205.609,90.0,499.85,4022.215,4918.574,5.01,91.008,30.014,NOLSM133525,5,25,17-02-2019 PM 9:04:30
133,1,Photo,1.0891767380638984,16.811,14.97,19.993,200.925,90.0,500.47,3979.993,5070.442,4.975,91.317,29.998,NOLSM134526,5,26,17-02-2019 PM 9:04:30
134,1,Photo,0.9295842663977161,14.953,14.917,20.009,202.427,89.999,504.675,3991.521,4936.656,5.058,92.819,29.984,NOLSM135527,5,27,17-02-2019 PM 9:04:30
135,2,Photo,0.9045838390399835,14.669,15.039,20.001,202.053,90.0,505.264,4029.626,4993.451,4.996,93.5,29.99,NOLSM13661,6,1,17-02-2019 PM 9:04:30
136,2,Photo,1.188272449101694,15.622,15.109,19.996,200.051,90.001,499.285,4052.404,5020.19,5.076,89.904,30.001,NOLSM13762,6,2,17-02-2019 PM 9:04:30
137,2,Photo,1.1339510077095334,15.101,15.018,20.002,197.983,90.001,500.665,3990.607,5003.956,5.112,91.107,29.994,NOLSM13863,6,3,17-02-2019 PM 9:04:30
138,3,Photo,0.8326082497136703,18.162,14.932,19.994,199.705,90.0,499.886,3985.833,4964.32,5.034,91.392,30.002,NOLSM13964,6,4,17-02-2019 PM 9:04:30
139,3,Photo,1.2749876066257542,15.117,14.91,19.995,194.623,89.999,497.909,3905.086,4980.191,5.072,92.644,29.999,NOLSM14065,6,5,17-02-2019 PM 9:04:30
140,3,Photo,1.2904921451648745,11.603,15.085,19.997,201.795,90.001,497.376,4027.773,5083.95,5.065,92.04,29.997,NOLSM14166,6,6,17-02-2019 PM 9:04:30
141,1,Photo,0.9041693020393511,15.045,14.96,19.998,200.519,90.0,500.17,4061.253,4899.577,5.026,91.453,29.997,NOLSM14267,6,7,17-02-2019 PM 9:04:30
142,1,Photo,1.0142438332279182,17.886,14.974,19.995,201.975,89.999,499.999,3942.812,4932.54,5.035,89.861,29.994,NOLSM14368,6,8,17-02-2019 PM 9:04:30
143,1,Photo,1.1659344604181268,15.707,15.108,19.99,202.236,90.0,502.462,4031.279,4989.038,4.927,92.614,29.982,NOLSM14469,6,9,17-02-2019 PM 9:04:30
144,2,Photo,0.8728867160122395,17.451,14.974,19.997,199.461,89.999,496.968,3961.823,5075.76,5.031,91.965,30.009,NOLSM145610,6,10,17-02-2019 PM 9:04:30
145,2,Photo,1.0585950187182687,14.664,15.029,20.0,203.443,90.001,496.803,3912.049,5047.235,5.033,91.325,30.004,NOLSM146611,6,11,17-02-2019 PM 9:04:30
146,2,Photo,0.7632523632882613,14.286,14.956,19.999,197.721,90.001,504.888,3944.087,4956.801,4.987,91.335,29.997,NOLSM147612,6,12,17-02-2019 PM 9:04:30
147,3,Photo,1.282962101916272,14.89,15.106,20.0,202.812,90.002,497.049,4002.498,4939.562,5.04,93.239,29.996,NOLSM148613,6,13,17-02-2019 PM 9:04:30
148,3,Photo,0.8562539530590266,16.342,15.128,19.996,198.429,89.998,500.323,3956.773,4926.143,5.005,92.335,30.008,NOLSM149614,6,14,17-02-2019 PM 9:04:30
149,3,Photo,0.9285415135301458,14.749,15.006,19.995,197.594,90.0,502.379,4056.607,4941.828,5.014,92.137,29.999,NOLSM150615,6,15,17-02-2019 PM 9:04:30
150,1,Photo,1.4090369066137882,16.917,15.059,19.999,198.925,90.0,500.038,4042.905,4982.143,5.008,91.859,30.007,NOLSM151616,6,16,17-02-2019 PM 9:04:30
