Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Current,Temp_implantation,Furance_Temp,RTA_Temp,No_Die,Lot_Num,Wafer_Num,Datetime
1,Implantation,1.005931e+16,1.335522e+17,5.191531e+17,3.013429e+17,5.999988e+17,32535.703,0.01,100.868,894,153,NOLSM48221,2,21,18-02-2019 ?? 9:04:30
1,Implantation,6.899294e+15,7.734505e+16,7.215884e+17,2.996633e+17,5.999993e+17,30855.391,0.01,104.158,891,151,NOLSM49222,2,22,18-02-2019 ?? 9:04:30
2,Implantation,1.584094e+16,7.242481e+16,1.703645e+17,3.002622e+17,6.000008e+17,31108.400,0.01,102.193,871,159,NOLSM50223,2,23,18-02-2019 ?? 9:04:30
3,Implantation,9.799744e+15,1.168306e+17,9.722509e+17,2.992619e+17,5.999992e+17,31638.792,0.01,105.637,920,157,NOLSM51224,2,24,18-02-2019 ?? 9:04:30
3,Implantation,6.706605e+15,1.32563e+17,5.452508e+17,3.008774e+17,6.000016e+17,32033.214,0.01,103.982,905,152,NOLSM52225,2,25,18-02-2019 ?? 9:04:30
2,Implantation,1.2751e+16,7.655506e+16,5.940849e+17,2.993792e+17,6.000018e+17,31929.509,0.01,102.576,893,154,NOLSM53226,2,26,18-02-2019 ?? 9:04:30
1,Implantation,1.776874e+16,7.44042e+16,7.064049e+17,3.005028e+17,6.000002e+17,32769.049,0.01,101.986,898,155,NOLSM54227,2,27,18-02-2019 ?? 9:04:30
1,Implantation,1.141649e+16,6.874731e+16,3.723006e+17,3.005127e+17,5.999998e+17,32331.242,0.01,102.757,923,157,NOLSM5531,3,1,19-02-2019 ?? 9:04:30
2,Implantation,1.201248e+16,4.774132e+16,1.152667e+18,2.999658e+17,5.999999e+17,32326.879,0.01,102.200,901,154,NOLSM5632,3,2,19-02-2019 ?? 9:04:30
3,Implantation,1.109017e+16,1.058233e+17,2.611233e+17,3.021868e+17,6.000006e+17,31066.014,0.01,103.558,897,151,NOLSM5733,3,3,19-02-2019 ?? 9:04:30
2,Implantation,3.418617e+15,8.510322e+16,6.480583e+17,3.006642e+17,5.999994e+17,31522.953,0.01,101.965,873,154,NOLSM5834,3,4,19-02-2019 ?? 9:04:30
1,Implantation,1.195726e+16,1.313269e+17,2.833237e+17,3.002037e+17,6.00001e+17,33101.496,0.01,100.915,866,150,NOLSM5935,3,5,19-02-2019 ?? 9:04:30
1,Implantation,1.371564e+16,1.025624e+17,9.180341e+17,2.984314e+17,5.999992e+17,30821.235,0.01,103.236,895,157,NOLSM6036,3,6,19-02-2019 ?? 9:04:30
2,Implantation,1.501041e+16,1.056778e+17,6.143475e+17,3.001388e+17,6.000009e+17,31606.805,0.01,103.492,903,156,NOLSM6137,3,7,19-02-2019 ?? 9:04:30
3,Implantation,8.640232e+15,1.190147e+17,4.645321e+17,3.007372e+17,5.999995e+17,31189.123,0.01,104.163,909,153,NOLSM6238,3,8,19-02-2019 ?? 9:04:30
2,Implantation,1.386741e+16,7.1777e+16,8.514056e+17,3.005594e+17,6.000002e+17,31897.149,0.01,102.736,878,154,NOLSM6339,3,9,19-02-2019 ?? 9:04:30
1,Implantation,8.872741e+15,1.595011e+17,5.291205e+17,2.995955e+17,6e+17,31251.878,0.01,101.442,878,157,NOLSM64310,3,10,19-02-2019 ?? 9:04:30
1,Implantation,1.136452e+16,1.352329e+17,8.020601e+17,3.006516e+17,5.999975e+17,30703.029,0.01,101.030,899,153,NOLSM65311,3,11,19-02-2019 ?? 9:04:30
2,Implantation,1.314953e+16,6.114878e+16,1.076681e+18,3.028821e+17,6.000003e+17,30325.348,0.01,103.937,912,157,NOLSM66312,3,12,19-02-2019 ?? 9:04:30
3,Implantation,8.40191e+15,5.266114e+16,8.010427e+17,2.997864e+17,6.000006e+17,32066.425,0.01,99.938,925,154,NOLSM67313,3,13,19-02-2019 ?? 9:04:30
3,Implantation,1.20779e+16,1.422003e+17,5.135445e+17,3.027063e+17,6.000017e+17,31988.811,0.01,98.542,881,155,NOLSM68314,3,14,19-02-2019 ?? 9:04:30
1,Implantation,1.112843e+16,8.260818e+16,1.175223e+18,2.994987e+17,6.000012e+17,29985.962,0.01,103.541,877,154,NOLSM69315,3,15,19-02-2019 ?? 9:04:30
1,Implantation,8.907341e+15,8.341653e+16,6.878165e+17,2.992449e+17,6.000021e+17,31431.504,0.01,103.893,893,155,NOLSM70316,3,16,19-02-2019 ?? 9:04:30
2,Implantation,9.848459e+15,1.230025e+17,3.05303e+17,2.998967e+17,6.000005e+17,32189.734,0.01,101.709,878,155,NOLSM71317,3,17,19-02-2019 ?? 9:04:30
3,Implantation,9.177481e+15,1.279751e+17,1.92972e+17,3.004508e+17,5.99999e+17,31178.487,0.01,103.251,911,154,NOLSM72318,3,18,19-02-2019 ?? 9:04:30
3,Implantation,1.411817e+16,1.256062e+17,8.176396e+17,3.013293e+17,6e+17,31633.206,0.01,100.664,899,153,NOLSM73319,3,19,19-02-2019 ?? 9:04:30
1,Implantation,9.755788e+15,5.795119e+16,7.546502e+17,3.000801e+17,5.999989e+17,31321.795,0.01,102.600,901,157,NOLSM74320,3,20,19-02-2019 ?? 9:04:30
1,Implantation,1.183858e+16,1.523685e+17,8.645223e+17,3.005535e+17,5.99999e+17,31818.941,0.01,100.949,865,150,NOLSM75321,3,21,19-02-2019 ?? 9:04:30
3,Implantation,1.018872e+16,7.546303e+16,3.7288e+17,3.005211e+17,5.999987e+17,32229.520,0.01,103.453,904,158,NOLSM76322,3,22,19-02-2019 ?? 9:04:30
3,Implantation,1.420071e+16,9.190138e+16,9.93153e+17,3.013522e+17,5.999982e+17,31476.989,0.01,102.519,891,153,NOLSM77323,3,23,19-02-2019 ?? 9:04:30
2,Implantation,1.142281e+16,1.477165e+17,3.091373e+17,3.019157e+17,5.999981e+17,31177.831,0.01,102.643,897,154,NOLSM78324,3,24,19-02-2019 ?? 9:04:30
1,Implantation,1.05947e+16,8.873334e+16,6.516e+16,2.991863e+17,5.999999e+17,32328.112,0.01,101.726,868,153,NOLSM79325,3,25,19-02-2019 ?? 9:04:30
1,Implantation,1.679226e+16,1.613788e+17,6.99671e+17,3.001793e+17,5.999988e+17,31463.004,0.01,104.676,909,154,NOLSM80326,3,26,19-02-2019 ?? 9:04:30
2,Implantation,7.089056e+15,1.186536e+17,2.574417e+17,2.994896e+17,6e+17,33158.675,0.01,104.022,917,149,NOLSM81327,3,27,19-02-2019 ?? 9:04:30
3,Implantation,6.777187e+15,9.950081e+16,7.229777e+17,3.011706e+17,5.999994e+17,32300.805,0.01,104.134,888,154,NOLSM8241,4,1,20-02-2019 ?? 9:04:30
3,Implantation,1.0499e+16,1.094918e+17,4.536188e+17,2.988524e+17,5.999996e+17,33029.239,0.01,103.788,873,154,NOLSM8342,4,2,20-02-2019 ?? 9:04:30
2,Implantation,6.883704e+15,1.211221e+17,7.208557e+17,2.997931e+17,6.000018e+17,31635.027,0.01,104.716,914,155,NOLSM8443,4,3,20-02-2019 ?? 9:04:30
1,Implantation,3.935033e+15,7.706341e+16,5.763683e+17,3.015679e+17,5.99999e+17,33163.807,0.01,102.964,905,154,NOLSM8544,4,4,20-02-2019 ?? 9:04:30
1,Implantation,1.177267e+16,1.069703e+17,7.449297e+17,3.019468e+17,6.000004e+17,31931.086,0.01,103.914,884,156,NOLSM8645,4,5,20-02-2019 ?? 9:04:30
2,Implantation,1.063997e+16,4.980849e+16,4.146487e+17,3.017086e+17,5.999996e+17,30826.011,0.01,103.975,903,154,NOLSM8746,4,6,20-02-2019 ?? 9:04:30
3,Implantation,1.097358e+16,9.527547e+16,4.360309e+17,2.989406e+17,5.999983e+17,30499.847,0.01,99.312,898,153,NOLSM8847,4,7,20-02-2019 ?? 9:04:30
2,Implantation,1.466339e+16,1.430992e+17,7.343627e+17,3.019078e+17,5.999999e+17,30703.662,0.01,101.088,880,155,NOLSM8948,4,8,20-02-2019 ?? 9:04:30
1,Implantation,2.114054e+16,1.200273e+17,1.180826e+18,3.036145e+17,5.999997e+17,32324.756,0.01,103.759,872,153,NOLSM9049,4,9,20-02-2019 ?? 9:04:30
1,Implantation,1.351318e+16,1.13353e+17,6.367495e+17,2.99921e+17,5.999986e+17,31924.552,0.01,104.320,902,155,NOLSM91410,4,10,20-02-2019 ?? 9:04:30
2,Implantation,1.02609e+16,9.432227e+16,3.085183e+17,2.994533e+17,5.999987e+17,31500.526,0.01,101.507,888,154,NOLSM92411,4,11,20-02-2019 ?? 9:04:30
3,Implantation,1.692967e+16,-2.37523e+16,9.235683e+17,3.020301e+17,5.99999e+17,32179.174,0.01,103.426,890,158,NOLSM93412,4,12,20-02-2019 ?? 9:04:30
3,Implantation,9.465278e+15,1.05116e+17,5.934157e+17,2.995989e+17,6.000002e+17,30475.756,0.01,103.195,912,154,NOLSM94413,4,13,20-02-2019 ?? 9:04:30
2,Implantation,9.246968e+15,1.270199e+17,4.645364e+17,2.994727e+17,5.999993e+17,31478.739,0.01,100.492,899,153,NOLSM95414,4,14,20-02-2019 ?? 9:04:30
1,Implantation,1.580833e+16,1.388645e+17,1.058382e+18,3.007184e+17,6.000021e+17,32446.139,0.01,100.612,885,154,NOLSM96415,4,15,20-02-2019 ?? 9:04:30
1,Implantation,1.259375e+16,1.158297e+17,6.683491e+17,3.009912e+17,5.999989e+17,32346.097,0.01,103.385,908,156,NOLSM97416,4,16,20-02-2019 ?? 9:04:30
3,Implantation,9.160995e+15,1.48848e+17,8.972298e+17,2.976581e+17,5.999985e+17,31900.559,0.01,102.263,861,153,NOLSM98417,4,17,20-02-2019 ?? 9:04:30
3,Implantation,1.714949e+16,1.230603e+17,5.053348e+17,2.992338e+17,5.999988e+17,32068.136,0.01,104.884,916,154,NOLSM99418,4,18,20-02-2019 ?? 9:04:30
2,Implantation,1.582254e+16,1.018657e+17,1.195812e+18,3.034526e+17,5.999999e+17,31575.591,0.01,101.321,916,149,NOLSM100419,4,19,20-02-2019 ?? 9:04:30
1,Implantation,1.87864e+16,1.90949e+17,6.975149e+17,3.019438e+17,5.999993e+17,32022.906,0.01,104.284,907,155,NOLSM101420,4,20,20-02-2019 ?? 9:04:30
1,Implantation,1.060925e+16,1.327324e+17,7.14029e+17,3.006008e+17,6e+17,30933.420,0.01,101.024,898,155,NOLSM102421,4,21,20-02-2019 ?? 9:04:30
2,Implantation,9.56737e+15,1.211098e+17,5.306656e+17,3.009928e+17,6.000007e+17,31425.431,0.01,101.158,877,155,NOLSM103422,4,22,20-02-2019 ?? 9:04:30
3,Implantation,1.678726e+16,1.260218e+17,3.538218e+17,3.010948e+17,5.999998e+17,32261.627,0.01,102.808,898,155,NOLSM104423,4,23,20-02-2019 ?? 9:04:30
2,Implantation,1.751055e+16,1.726507e+17,7.731397e+17,3.010895e+17,5.999989e+17,32507.325,0.01,102.652,889,159,NOLSM105424,4,24,20-02-2019 ?? 9:04:30
1,Implantation,7.300655e+15,5.355197e+16,5.480673e+17,3.013061e+17,6.000008e+17,31857.972,0.01,103.834,916,153,NOLSM106425,4,25,20-02-2019 ?? 9:04:30
1,Implantation,7.649093e+15,1.336104e+17,9.581656e+17,3.003823e+17,5.999986e+17,30998.017,0.01,103.704,905,155,NOLSM107426,4,26,20-02-2019 ?? 9:04:30
2,Implantation,7.700246e+15,1.167551e+17,9.961122e+17,2.999934e+17,5.999985e+17,31665.596,0.01,102.212,916,155,NOLSM108427,4,27,20-02-2019 ?? 9:04:30
3,Implantation,8.465293e+15,8.04607e+16,3.8357e+17,2.977746e+17,5.999989e+17,32034.605,0.01,104.846,896,158,NOLSM10951,5,1,21-02-2019 ?? 9:04:30
2,Implantation,1.647625e+16,1.043023e+17,6.930798e+17,3.011146e+17,5.999995e+17,32403.770,0.01,105.045,912,154,NOLSM11052,5,2,21-02-2019 ?? 9:04:30
1,Implantation,1.129598e+16,7.232256e+16,7.255184e+17,2.998998e+17,5.999975e+17,31560.731,0.01,105.841,875,154,NOLSM11153,5,3,21-02-2019 ?? 9:04:30
1,Implantation,1.987301e+16,9.899461e+16,7.62343e+17,3.019499e+17,6.00001e+17,29604.262,0.01,104.261,916,153,NOLSM11254,5,4,21-02-2019 ?? 9:04:30
2,Implantation,1.330673e+16,1.36146e+17,1.085071e+17,3.004817e+17,5.999991e+17,31732.122,0.01,103.620,880,156,NOLSM11355,5,5,21-02-2019 ?? 9:04:30
3,Implantation,1.244913e+16,1.889112e+16,2.824697e+17,3.005023e+17,5.999991e+17,31858.818,0.01,102.678,893,150,NOLSM11456,5,6,21-02-2019 ?? 9:04:30
3,Implantation,8.738966e+15,1.326794e+16,3.101468e+17,2.9981e+17,6.000008e+17,32187.195,0.01,102.447,914,153,NOLSM11557,5,7,21-02-2019 ?? 9:04:30
2,Implantation,1.278441e+16,6.202554e+16,6.865858e+17,3.016671e+17,5.999975e+17,30856.694,0.01,103.236,877,156,NOLSM11658,5,8,21-02-2019 ?? 9:04:30
1,Implantation,9.598508e+15,3.848271e+16,4.084392e+17,2.977442e+17,6.000003e+17,32042.018,0.01,103.967,917,154,NOLSM11759,5,9,21-02-2019 ?? 9:04:30
1,Implantation,1.381879e+16,8.863742e+16,7.725948e+17,3.009458e+17,6.000001e+17,31289.639,0.01,102.991,912,154,NOLSM118510,5,10,21-02-2019 ?? 9:04:30
2,Implantation,1.301446e+16,3.710718e+16,1.003472e+18,3.006205e+17,5.999986e+17,32524.693,0.01,101.322,903,154,NOLSM119511,5,11,21-02-2019 ?? 9:04:30
3,Implantation,1.281517e+16,6.136455e+16,6.899709e+17,2.990919e+17,5.999986e+17,32057.540,0.01,101.394,910,162,NOLSM120512,5,12,21-02-2019 ?? 9:04:30
3,Implantation,6.986306e+15,1.245323e+17,2.196262e+17,3.030602e+17,5.999995e+17,32900.689,0.01,103.550,913,156,NOLSM121513,5,13,21-02-2019 ?? 9:04:30
2,Implantation,1.261608e+16,7.818982e+16,1.229639e+17,3.011131e+17,6.000006e+17,31640.442,0.01,105.170,918,153,NOLSM122514,5,14,21-02-2019 ?? 9:04:30
1,Implantation,3.994759e+15,1.202309e+17,1.207734e+17,2.986094e+17,6.000002e+17,31856.772,0.01,102.377,883,156,NOLSM123515,5,15,21-02-2019 ?? 9:04:30
1,Implantation,1.967326e+15,1.163335e+17,8.71483e+17,2.991363e+17,5.999998e+17,32050.437,0.01,101.995,894,155,NOLSM124516,5,16,21-02-2019 ?? 9:04:30
2,Implantation,1.625617e+16,2.134598e+17,4.598518e+17,3.023853e+17,5.999995e+17,31710.986,0.01,105.264,930,152,NOLSM125517,5,17,21-02-2019 ?? 9:04:30
3,Implantation,1.1662e+16,5.350511e+16,8.551085e+17,3.009905e+17,5.999988e+17,31155.426,0.01,104.162,888,153,NOLSM126518,5,18,21-02-2019 ?? 9:04:30
3,Implantation,4.152999e+15,8.83112e+16,8.988816e+17,3.00082e+17,5.999987e+17,31707.301,0.01,104.286,903,153,NOLSM127519,5,19,21-02-2019 ?? 9:04:30
2,Implantation,6.968264e+15,1.175434e+17,7.578451e+17,2.995406e+17,5.999986e+17,31921.289,0.01,103.014,889,156,NOLSM128520,5,20,21-02-2019 ?? 9:04:30
1,Implantation,1.099917e+16,1.504884e+17,1.817507e+17,3.001803e+17,5.99999e+17,31234.441,0.01,103.453,883,153,NOLSM129521,5,21,21-02-2019 ?? 9:04:30
1,Implantation,1.28589e+16,5.566068e+16,7.686171e+17,2.997341e+17,6.000007e+17,30801.679,0.01,104.564,932,157,NOLSM130522,5,22,21-02-2019 ?? 9:04:30
2,Implantation,1.331091e+16,8.728188e+16,8.711182e+17,3.005126e+17,5.999991e+17,33283.059,0.01,100.908,896,154,NOLSM131523,5,23,21-02-2019 ?? 9:04:30
3,Implantation,1.524067e+16,9.847667e+16,7.524837e+17,2.990298e+17,5.999977e+17,31856.143,0.01,102.064,914,153,NOLSM132524,5,24,21-02-2019 ?? 9:04:30
3,Implantation,7.863019e+15,6.498436e+16,5.644769e+17,3.006359e+17,6.000001e+17,31565.934,0.01,104.243,904,158,NOLSM133525,5,25,21-02-2019 ?? 9:04:30
2,Implantation,1.067692e+16,9.394987e+16,2.806143e+17,2.99517e+17,6.000003e+17,32131.098,0.01,105.338,879,155,NOLSM134526,5,26,21-02-2019 ?? 9:04:30
1,Implantation,1.21172e+16,9.468531e+16,4.772744e+17,2.997926e+17,5.999992e+17,32248.673,0.01,100.598,921,156,NOLSM135527,5,27,21-02-2019 ?? 9:04:30
1,Implantation,8.064003e+15,1.282234e+17,1.708833e+17,3.019384e+17,5.999989e+17,31194.915,0.01,101.786,885,152,NOLSM13661,6,1,22-02-2019 ?? 9:04:30
2,Implantation,1.648055e+16,7.785946e+16,1.034905e+18,3.013019e+17,5.999993e+17,31469.225,0.01,105.080,913,154,NOLSM13762,6,2,22-02-2019 ?? 9:04:30
3,Implantation,1.00145e+16,1.483152e+17,7.8865e+17,2.980352e+17,6.000015e+17,32246.843,0.01,104.774,907,154,NOLSM13863,6,3,22-02-2019 ?? 9:04:30
3,Implantation,1.154925e+16,8.371327e+16,5.169942e+17,2.981948e+17,6.000001e+17,31801.588,0.01,103.624,866,153,NOLSM13964,6,4,22-02-2019 ?? 9:04:30
2,Implantation,7.35523e+15,9.353536e+16,6.655687e+17,3.016978e+17,5.999985e+17,32290.539,0.01,104.739,907,161,NOLSM14065,6,5,22-02-2019 ?? 9:04:30
1,Implantation,5.575371e+15,8.803286e+16,3.943833e+17,2.987121e+17,5.999998e+17,32537.016,0.01,102.829,899,156,NOLSM14166,6,6,22-02-2019 ?? 9:04:30
1,Implantation,1.167192e+16,1.051159e+17,2.535413e+17,2.994584e+17,6.000005e+17,30799.800,0.01,103.001,882,152,NOLSM14267,6,7,22-02-2019 ?? 9:04:30
2,Implantation,1.144245e+16,1.218449e+17,4.947086e+17,2.990428e+17,6.000012e+17,30537.234,0.01,104.583,880,159,NOLSM14368,6,8,22-02-2019 ?? 9:04:30
3,Implantation,7.621903e+15,1.169972e+17,9.123979e+17,2.978937e+17,5.999983e+17,33254.920,0.01,104.377,909,156,NOLSM14469,6,9,22-02-2019 ?? 9:04:30
3,Implantation,1.514341e+16,8.701115e+16,8.443945e+17,3.016202e+17,6.000011e+17,32529.301,0.01,103.397,920,150,NOLSM145610,6,10,22-02-2019 ?? 9:04:30
2,Implantation,1.084558e+16,1.257068e+17,3.847228e+17,3.012749e+17,6.000012e+17,31724.033,0.01,103.021,913,159,NOLSM146611,6,11,22-02-2019 ?? 9:04:30
1,Implantation,1.176035e+16,6.73635e+16,7.600797e+17,3.001729e+17,5.999985e+17,32188.034,0.01,102.492,892,148,NOLSM147612,6,12,22-02-2019 ?? 9:04:30
1,Implantation,1.526726e+16,1.376208e+17,5.634454e+17,2.995049e+17,6.000014e+17,32481.944,0.01,103.514,879,154,NOLSM148613,6,13,22-02-2019 ?? 9:04:30
