,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,No_Die,Reinforcement,Unnamed: 0_x,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,lithography_Chamber,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Range_check,Unnamed: 0_y,Etching_Chamber,Process 3,Temp_Etching,Source_Power,Selectivity,Thin Film 4,Thin Film 3,Thin Film 2,Thin Film 1,Etching_rate,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target,Error_message,target_binom,Chamber_Route
10,2,Oxidation,dry,1077.751749,O2,32.59,0.189,87.0,689.049,NOLSM11111,True,10,1,Photo,0.9451828236380108,18.638,15.012,20.001,201.924,90.002,500.257,4036.876,5087.298,4.975,92.318,29.988,3,54.613,G,436,525.22,107.543,True,10,3,Etching,70.61,51.473,1.048,223.0,236.93,273.6,330.48,2.6870000000000003,3,Implantation,1.736793e+16,2.39343e+16,9.600094e+17,2.989463e+17,6.000002e+17,31691.366,105.291,891.0,156,72,none,0.0,route_21333
11,2,Oxidation,dry,1113.7120291,O2,38.02,0.218,80.0,708.738,NOLSM12112,False,11,2,Photo,1.416596864903673,12.013,14.981,20.001,200.521,90.001,501.499,4014.071,4947.437,5.024,93.669,30.001,1,31.272,G,436,488.636,111.101,True,11,3,Etching,71.067,51.129,1.043,562.0,575.77,612.41,669.7099999999999,2.692749999999998,3,Implantation,1.371259e+16,8.908177e+16,7.436403e+17,3.003316e+17,5.999984e+17,31201.151,105.485,906.0,153,215,[['Loc']],1.0,route_22133
12,2,Oxidation,dry,1193.9659897,O2,33.81,0.202,149.0,716.118,NOLSM13113,False,12,2,Photo,0.7452306877040633,15.182,15.034,19.994,199.034,90.0,501.61,3985.686,5137.647,5.013,91.66,30.0,2,23.663,H,405,478.444,107.19,False,12,2,Etching,69.934,51.099,1.023,416.0,431.97,468.52,525.8000000000001,2.745000000000002,2,Implantation,1.376035e+16,1.218307e+17,7.799705e+17,3.025238e+17,6.000021e+17,31655.39,104.646,898.0,151,89,none,0.0,route_22222
13,2,Oxidation,dry,1098.1779675,O2,29.05,0.216,149.0,703.595,NOLSM14114,False,13,2,Photo,0.9097976033778354,18.211,15.006,20.001,197.707,90.0,503.158,4047.541,4947.636,5.028,94.355,29.997,3,27.333,G,436,516.803,110.24,True,13,1,Etching,72.593,50.252,1.024,365.0,379.84,416.58,473.91,2.7227500000000004,1,Implantation,1.261232e+16,1.114255e+17,6.0035e+17,3.029654e+17,6.000011e+17,30953.889,104.291,897.0,152,104,none,0.0,route_22311
14,2,Oxidation,dry,1013.7034861,O2,49.91,0.209,101.0,721.105,NOLSM15115,False,14,3,Photo,0.8276594471700371,15.836,14.925,19.993,194.126,90.0,501.085,3955.393,4983.697,5.032,92.48,30.003,1,16.467,H,405,529.182,109.976,False,14,1,Etching,71.754,52.645,1.038,556.0,572.19,608.5200000000001,665.96,2.749000000000001,1,Implantation,7253277000000000.0,9.582958e+16,2.286922e+17,3.009416e+17,5.999996e+17,31211.391,102.585,899.0,151,116,none,0.0,route_23111
15,2,Oxidation,wet,1102.4255833,H2O,32.47,0.203,112.0,703.686,NOLSM16116,False,15,3,Photo,1.405793261423272,15.931,15.1,20.004,199.703,90.0,503.226,4062.804,4931.418,5.053,94.036,30.003,2,43.554,H,405,472.687,110.358,True,15,2,Etching,71.441,51.015,1.027,447.0,461.9,498.54,555.86,2.7215000000000003,2,Implantation,9515444000000000.0,4.841094e+16,9.963945e+17,2.992162e+17,5.999984e+17,31603.462,106.007,910.0,156,124,none,0.0,route_23222
16,2,Oxidation,dry,1100.6468747,O2,32.82,0.205,101.0,702.403,NOLSM17117,False,16,3,Photo,1.2967443887929706,13.723,14.879,19.998,198.575,90.0,499.06,4071.633,5053.274,5.102,93.318,29.996,3,41.893,I,365,561.777,107.42,True,16,3,Etching,71.163,50.547,1.009,248.0,263.76,300.38,357.38,2.7344999999999997,3,Implantation,1.288988e+16,5.537654e+16,5.802794e+17,2.99731e+17,5.999975e+17,31197.908,103.454,910.0,155,71,none,0.0,route_23333
17,3,Oxidation,dry,996.16264084,O2,36.66,0.194,148.0,707.175,NOLSM18118,False,17,1,Photo,1.2057214653241934,13.934,14.899,20.001,198.429,90.0,501.252,3985.677,4979.438,4.925,90.195,30.007,1,30.437,I,365,523.658,108.685,True,17,3,Etching,70.345,50.843,1.015,417.0,433.07,469.4,526.4399999999999,2.7359999999999984,3,Implantation,8412184000000000.0,1.656621e+17,9.850025e+17,3.00217e+17,5.999992e+17,31359.595,103.046,894.0,156,83,none,0.0,route_31133
18,3,Oxidation,wet,1017.2931115,H2O,35.44,0.203,157.0,719.64,NOLSM19119,False,18,1,Photo,1.2936588659635206,13.286,15.074,19.991,202.801,90.001,499.644,3978.724,4940.786,5.052,91.503,30.008,2,61.431,H,405,514.519,106.424,False,18,2,Etching,69.832,51.609,1.011,227.0,241.18,277.86,334.87,2.69675,2,Implantation,1.30369e+16,1.003419e+17,7.400214e+17,3.016296e+17,5.999994e+17,32409.504,106.244,899.0,154,95,none,0.0,route_31222
19,3,Oxidation,dry,1037.4383761,O2,36.74,0.205,147.0,709.838,NOLSM20120,False,19,1,Photo,1.377963725875656,15.243,14.939,20.002,202.168,90.001,500.85,4056.014,4959.075,5.063,90.706,30.012,3,47.652,H,405,534.147,109.963,True,19,1,Etching,71.606,51.027,1.024,185.0,201.3,237.67,294.95000000000005,2.748750000000001,1,Implantation,1.233285e+16,9.301029e+16,2.58609e+17,3.034747e+17,6.000006e+17,32922.767,104.804,923.0,152,92,none,0.0,route_31311
20,3,Oxidation,dry,1000.0636738,O2,25.53,0.203,56.0,715.592,NOLSM21121,False,20,2,Photo,0.9060539496401648,16.26,14.995,19.999,200.039,90.0,503.25,4029.12,4990.186,4.937,90.313,30.005,1,28.492,I,365,499.558,109.557,True,20,1,Etching,71.068,50.653,1.029,660.0,675.11,711.9,769.22,2.7305000000000006,1,Implantation,1.417545e+16,1.866649e+16,2.188458e+17,3.011953e+17,6.00001e+17,30786.77,101.334,920.0,154,255,[['Edge-Loc']],1.0,route_32111
21,3,Oxidation,dry,1080.0859934,O2,42.37,0.212,84.0,698.922,NOLSM22122,True,21,2,Photo,1.10931383442452,14.621,15.052,19.999,202.913,90.0,498.172,3971.194,5038.728,5.017,91.22,29.982,2,38.292,G,436,537.389,107.999,True,21,2,Etching,69.362,51.252,1.026,394.0,409.62,446.25,503.58,2.7394999999999996,2,Implantation,9743628000000000.0,1.412765e+17,3.595885e+17,3.000941e+17,5.999988e+17,30857.277,101.933,897.0,154,99,none,0.0,route_32222
22,3,Oxidation,dry,1068.5066433,O2,31.47,0.212,117.0,708.278,NOLSM23123,False,22,2,Photo,1.0490222055077865,16.852,15.041,20.003,197.898,90.001,499.885,4035.394,5098.559,4.993,90.621,30.004,3,52.821,I,365,532.275,109.351,True,22,3,Etching,72.506,50.769,1.044,423.0,438.26,474.81,531.69,2.7172500000000013,3,Implantation,1.255924e+16,3.112503e+16,7.90051e+17,3.023858e+17,5.99999e+17,32295.6,100.745,884.0,155,117,none,0.0,route_32333
23,3,Oxidation,wet,1067.2373343,H2O,37.17,0.205,137.0,704.101,NOLSM24124,False,23,3,Photo,0.9569565291714388,17.92,14.929,20.0,200.741,90.001,501.31,3952.67,5052.23,5.035,90.441,30.004,1,37.522,H,405,514.823,108.116,True,23,3,Etching,71.744,50.936,1.06,355.0,370.23,406.84,463.72,2.718000000000001,3,Implantation,5205382000000000.0,4.092096e+16,6.657654e+17,3.00668e+17,5.999966e+17,31614.158,104.38,917.0,155,130,none,0.0,route_33133
24,3,Oxidation,wet,1035.3569135,H2O,35.36,0.21,125.0,715.292,NOLSM25125,False,24,3,Photo,1.171199507683892,20.149,14.995,19.994,200.56,90.001,500.285,3972.34,5047.799,5.008,91.096,29.994,2,27.664,G,436,494.166,111.283,True,24,2,Etching,71.199,51.446,1.024,358.0,372.37,408.83,465.85,2.6962500000000005,2,Implantation,1.769117e+16,1.305478e+17,9.923419e+17,3.005993e+17,5.999993e+17,30534.747,100.517,915.0,156,70,none,0.0,route_33222
25,3,Oxidation,wet,1104.1297388,H2O,39.02,0.206,204.0,696.973,NOLSM26126,True,25,3,Photo,0.982102258158259,17.655,15.036,20.005,198.828,90.0,504.606,4017.144,5018.69,4.909,90.377,30.013,3,49.36,G,436,533.105,106.293,True,25,1,Etching,71.553,50.168,1.011,210.0,226.71,263.08,320.18,2.7545,1,Implantation,2.046552e+16,1.427244e+17,5.002561e+17,3.000664e+17,6.000002e+17,32268.828,102.998,898.0,159,90,none,0.0,route_33311
26,1,Oxidation,dry,956.15690801,O2,33.41,0.218,144.0,713.383,NOLSM27127,False,26,1,Photo,1.0007478760320687,19.821,14.96,19.998,198.925,90.001,503.84,4072.913,5016.378,5.104,88.887,29.992,1,40.752,G,436,518.976,109.532,True,26,1,Etching,69.65,51.216,1.053,353.0,368.76,405.31,462.35,2.7337500000000006,1,Implantation,1.010194e+16,2.132326e+16,7.534695e+17,3.01607e+17,6.00001e+17,31093.054,101.814,903.0,156,146,none,0.0,route_11111
27,1,Oxidation,dry,1058.8279727,O2,32.41,0.209,114.0,707.44,NOLSM2821,False,27,1,Photo,1.2520769585804885,16.921,15.102,19.995,198.225,90.0,503.181,4084.939,4933.829,5.061,90.515,30.011,2,43.579,H,405,472.853,106.798,True,27,2,Etching,70.341,51.052,1.06,402.0,415.99,452.47,509.8200000000001,2.6955000000000027,2,Implantation,5931327000000000.0,9.218457e+16,1.203848e+17,2.998575e+17,6.000007e+17,31490.992,105.795,890.0,154,91,none,0.0,route_11222
28,1,Oxidation,dry,1240.2895471,O2,37.48,0.204,106.0,707.18,NOLSM2922,False,28,1,Photo,1.2874365373767072,13.908,14.999,19.995,199.62,89.999,493.831,4045.078,5009.51,4.92,89.336,29.991,3,44.797,G,436,534.455,109.373,True,28,3,Etching,71.972,52.479,1.042,288.0,302.57,339.26,396.38,2.7095,3,Implantation,1.1191e+16,9.480994e+16,5.555139e+17,3.012355e+17,6.00002e+17,32725.266,103.911,911.0,156,109,none,0.0,route_11333
29,1,Oxidation,dry,1097.0083322,O2,32.84,0.206,165.0,714.239,NOLSM3023,False,29,2,Photo,0.9967862698507666,14.435,15.059,20.0,199.343,90.0,504.01,4010.176,5055.398,5.096,92.718,30.011,1,42.474,G,436,541.607,107.068,True,29,3,Etching,71.448,51.337,1.016,475.0,489.25,525.67,582.79,2.694749999999999,3,Implantation,7301236000000000.0,6.260504e+16,8.161858e+17,3.00526e+17,5.999989e+17,31538.328,103.924,896.0,152,93,none,0.0,route_12133
31,1,Oxidation,dry,1023.1211623,O2,37.89,0.204,75.0,699.531,NOLSM3225,True,31,3,Photo,0.9060753175267952,14.795,15.077,20.005,197.232,89.999,499.414,4039.539,5118.878,5.062,91.009,30.002,1,63.17,H,405,510.897,108.38,False,31,1,Etching,71.025,50.813,1.034,479.0,495.55,532.08,588.95,2.748750000000001,1,Implantation,9719014000000000.0,8.635994e+16,6.325446e+17,2.999648e+17,5.99998e+17,31811.636,103.273,923.0,154,149,none,0.0,route_13111
32,1,Oxidation,dry,1101.3963879,O2,31.7,0.21,167.0,702.707,NOLSM3326,False,32,3,Photo,1.156818919981538,17.679,15.047,19.998,195.711,90.001,498.501,4104.008,4976.329,5.118,90.552,29.995,3,34.847,H,405,518.154,106.26,True,32,3,Etching,71.306,51.814,1.02,395.0,407.59,444.25,501.54,2.6635000000000004,3,Implantation,1.341e+16,1.687066e+17,3.91677e+17,3.01244e+17,6.000007e+17,32124.08,104.34,900.0,157,77,none,0.0,route_13333
33,2,Oxidation,dry,1159.8601676,O2,30.63,0.202,151.0,706.277,NOLSM3427,False,33,1,Photo,0.9704653070992666,18.779,14.938,19.997,205.521,90.001,495.38,4036.214,5079.015,5.004,94.494,30.014,1,34.181,H,405,541.412,111.001,True,33,3,Etching,71.297,50.787,1.031,387.0,402.31,438.89,495.97,2.7242500000000005,3,Implantation,8521005000000000.0,1.903487e+17,5.608997e+17,2.982403e+17,5.999996e+17,30891.41,100.362,910.0,154,105,none,0.0,route_21133
34,2,Oxidation,dry,1041.0096056,O2,35.88,0.221,113.0,713.085,NOLSM3528,False,34,1,Photo,1.0468170396075145,17.805,15.024,19.998,193.229,90.001,495.848,4082.9,5024.711,4.881,92.963,30.009,2,24.236,G,436,520.185,107.77,False,34,2,Etching,70.839,50.837,1.028,304.0,319.55,356.40000000000003,413.33,2.7332499999999995,2,Implantation,9279492000000000.0,1.044419e+17,8.953365e+17,3.012918e+17,5.999988e+17,31517.072,105.868,885.0,153,176,none,0.0,route_21222
35,2,Oxidation,dry,1131.7743178,O2,42.9,0.199,64.0,703.97,NOLSM3629,False,35,1,Photo,0.8273261081386006,13.068,14.989,20.0,200.843,90.001,499.291,4003.0,4996.567,5.066,92.554,30.007,3,64.634,I,365,495.864,108.077,False,35,1,Etching,69.835,52.027,1.04,484.0,500.04,536.72,593.6600000000001,2.741500000000002,1,Implantation,1.42147e+16,1.323863e+17,8.00019e+17,3.003464e+17,5.999997e+17,31790.504,100.638,867.0,150,115,none,0.0,route_21311
37,2,Oxidation,dry,1096.8907283,O2,39.28,0.193,147.0,723.358,NOLSM38211,False,37,2,Photo,1.0649797432434742,15.585,14.848,20.001,204.07,90.001,503.348,4024.495,5011.014,4.938,89.548,30.0,2,43.434,G,436,501.061,106.848,True,37,2,Etching,70.915,51.108,1.036,543.0,556.49,593.07,650.1600000000001,2.679000000000002,2,Implantation,1.419174e+16,1.492151e+17,5.787467e+17,3.009167e+17,5.999987e+17,31126.867,105.072,893.0,158,128,none,0.0,route_22222
39,2,Oxidation,dry,1167.0115997,O2,27.49,0.201,68.0,708.223,NOLSM40213,False,39,3,Photo,1.091163951520539,15.3,15.023,20.001,200.642,89.999,503.656,4030.974,5017.72,5.07,90.439,30.006,1,50.402,H,405,503.268,107.918,True,39,3,Etching,70.941,51.727,1.045,404.0,418.99,455.47,512.72,2.718000000000001,3,Implantation,1.111963e+16,1.227923e+17,4.506595e+17,3.023499e+17,6e+17,32566.66,99.988,887.0,155,132,none,0.0,route_23133
40,2,Oxidation,dry,1031.0640614,O2,34.11,0.205,129.0,709.468,NOLSM41214,False,40,3,Photo,1.151241901570967,14.855,15.019,20.003,198.568,90.001,506.09,4016.14,4899.117,4.999,93.896,29.996,2,59.605,G,436,550.733,107.356,False,40,2,Etching,71.774,51.297,1.054,389.0,404.22,440.5,497.88,2.722,2,Implantation,1.034284e+16,8.154826e+16,6.380694e+17,3.012074e+17,6.000002e+17,32521.877,99.525,892.0,153,99,none,0.0,route_23222
41,2,Oxidation,dry,1180.3394847,O2,37.93,0.212,179.0,702.876,NOLSM42215,False,41,3,Photo,0.953524846578574,15.425,14.776,20.0,196.989,90.0,500.146,3995.851,5040.55,4.989,92.294,30.003,3,50.867,G,436,509.452,107.074,True,41,1,Etching,69.947,51.177,1.019,228.0,240.19,276.77,333.94,2.6485,1,Implantation,1.334222e+16,3.680414e+16,4.287332e+17,3.0108e+17,5.999998e+17,31358.645,105.044,899.0,152,62,none,0.0,route_23311
42,3,Oxidation,wet,1030.763662,H2O,33.82,0.213,55.0,705.424,NOLSM43216,False,42,1,Photo,1.1665797705943692,15.302,15.033,20.001,201.671,90.0,503.13,4068.598,5097.52,5.04,93.479,29.995,1,30.188,I,365,536.552,109.892,True,42,1,Etching,71.607,50.932,1.034,480.0,493.82,530.71,587.9300000000001,2.6982500000000016,1,Implantation,1.059335e+16,1.224482e+16,3.955358e+17,3.010186e+17,6.000001e+17,31818.475,102.605,920.0,152,125,none,0.0,route_31111
43,3,Oxidation,wet,1154.1069836,H2O,33.08,0.205,121.0,694.973,NOLSM44217,True,43,1,Photo,1.04221012324997,19.33,14.895,19.999,200.472,90.0,501.31,4032.002,5025.811,4.856,92.399,29.999,2,51.146,G,436,516.135,108.357,True,43,2,Etching,71.176,52.269,1.032,324.0,340.24,376.64,434.07,2.75175,2,Implantation,1.688761e+16,9.402568e+16,5.7005e+17,3.011772e+17,5.999979e+17,31391.261,106.14,911.0,159,97,none,0.0,route_31222
44,3,Oxidation,dry,984.80973869,O2,35.14,0.21,125.0,699.61,NOLSM45218,True,44,1,Photo,0.9392382775773944,14.202,15.039,20.003,195.62,90.001,502.024,4061.169,4970.858,4.994,91.181,30.004,3,51.079,G,436,540.772,108.067,True,44,3,Etching,70.758,51.796,1.008,208.0,222.74,259.2,316.57,2.71425,3,Implantation,6156502000000000.0,1.622314e+17,5.928143e+17,3.011139e+17,6.000005e+17,32378.318,104.608,900.0,150,62,none,0.0,route_31333
45,3,Oxidation,dry,1141.7084381,O2,25.2,0.195,186.0,709.326,NOLSM46219,False,45,2,Photo,1.1345364878032105,15.979,14.981,20.001,204.061,89.999,504.875,4055.237,5070.02,5.038,93.341,29.993,1,34.118,G,436,556.889,107.878,True,45,3,Etching,70.973,51.77,1.012,419.0,434.28,471.05,528.3299999999999,2.733249999999998,3,Implantation,1.045914e+16,1.83099e+17,6.403237e+17,3.00411e+17,5.999986e+17,31655.809,106.163,892.0,151,157,none,0.0,route_32133
46,3,Oxidation,wet,1183.7236397,H2O,32.31,0.225,178.0,703.43,NOLSM47220,False,46,2,Photo,1.2678721003777842,15.467,15.167,19.999,201.84,89.999,500.488,4080.602,4922.31,5.002,92.275,30.002,2,29.099,G,436,533.306,108.546,True,46,2,Etching,71.049,51.212,1.024,481.0,495.79,532.27,589.37,2.70925,2,Implantation,1.223585e+16,8.918856e+16,1.193315e+17,3.004486e+17,6.000003e+17,31475.03,104.423,867.0,155,184,none,0.0,route_32222
47,3,Oxidation,dry,1226.0236301,O2,31.05,0.202,135.0,693.884,NOLSM48221,True,47,2,Photo,1.116070360177097,16.292,14.955,20.003,203.373,90.0,502.747,3892.298,5020.408,4.925,92.602,30.002,3,58.236,H,405,518.361,109.099,False,47,1,Etching,70.119,51.77,1.033,319.0,335.76,372.48,429.7000000000001,2.7675000000000027,1,Implantation,1.005931e+16,1.335522e+17,5.191531e+17,3.013429e+17,5.999988e+17,32535.703,100.868,894.0,153,128,none,0.0,route_32311
48,3,Oxidation,dry,1189.4704098,O2,44.4,0.21,91.0,712.072,NOLSM49222,False,48,3,Photo,0.9806492418673822,15.389,14.924,20.003,199.778,89.999,497.443,4003.755,4987.505,5.052,90.014,30.004,1,50.242,H,405,511.164,107.421,True,48,1,Etching,72.115,50.716,1.037,411.0,425.99,462.53,519.85,2.7212500000000004,1,Implantation,6899294000000000.0,7.734505e+16,7.215884e+17,2.996633e+17,5.999993e+17,30855.391,104.158,891.0,151,171,none,0.0,route_33111
49,3,Oxidation,dry,1080.2135215,O2,32.52,0.193,90.0,707.578,NOLSM50223,False,49,3,Photo,0.903451341048565,15.637,15.084,19.999,203.21,89.999,495.55,4108.316,5063.6,5.045,91.947,29.998,2,48.317,G,436,534.801,108.139,True,49,2,Etching,70.245,50.29,1.017,339.0,353.07,389.5,446.61,2.6902500000000003,2,Implantation,1.584094e+16,7.242481e+16,1.703645e+17,3.002622e+17,6.000008e+17,31108.4,102.193,871.0,159,59,none,0.0,route_33222
50,3,Oxidation,dry,1139.6899983,O2,37.34,0.205,86.0,706.773,NOLSM51224,False,50,3,Photo,0.8336467290039147,15.27,15.1,19.999,197.994,90.0,502.14,3948.707,4974.792,5.05,91.942,29.994,3,47.379,I,365,500.101,108.25,True,50,3,Etching,70.437,50.087,1.027,237.0,250.75,287.1,344.32000000000005,2.683000000000001,3,Implantation,9799744000000000.0,1.168306e+17,9.722509e+17,2.992619e+17,5.999992e+17,31638.792,105.637,920.0,157,42,none,0.0,route_33333
51,1,Oxidation,wet,1070.5742384,H2O,35.21,0.21,56.0,714.762,NOLSM52225,False,51,1,Photo,0.8053770149917092,15.085,14.983,20.003,200.863,90.002,503.209,3957.686,5089.309,4.91,94.751,29.996,1,49.091,G,436,511.047,109.34,True,51,3,Etching,70.888,51.091,1.014,272.0,286.85,323.48,380.64,2.7159999999999997,3,Implantation,6706605000000000.0,1.32563e+17,5.452508e+17,3.008774e+17,6.000016e+17,32033.214,103.982,905.0,152,94,none,0.0,route_11133
52,1,Oxidation,wet,1035.6123981,H2O,39.84,0.22,126.0,697.495,NOLSM53226,True,52,1,Photo,1.063748952973555,17.717,15.013,19.99,201.966,90.0,500.521,4004.511,4966.455,4.988,91.712,29.997,2,41.355,I,365,522.118,108.789,True,52,2,Etching,70.392,50.488,1.056,616.0,629.74,666.25,723.49,2.68725,2,Implantation,1.2751e+16,7.655506e+16,5.940849e+17,2.993792e+17,6.000018e+17,31929.509,102.576,893.0,154,114,none,0.0,route_11222
53,1,Oxidation,dry,1162.9936157,O2,38.4,0.212,107.0,716.621,NOLSM54227,False,53,1,Photo,1.0152694917861842,19.372,14.947,19.997,198.005,90.001,504.722,3886.323,4933.834,4.946,92.482,30.004,3,46.285,G,436,499.689,107.465,True,53,1,Etching,72.489,51.776,1.034,387.0,403.78,440.66,497.71,2.7677499999999995,1,Implantation,1.776874e+16,7.44042e+16,7.064049e+17,3.005028e+17,6.000002e+17,32769.049,101.986,898.0,155,157,none,0.0,route_11311
54,1,Oxidation,dry,1136.2293796,O2,38.47,0.203,96.0,715.089,NOLSM5531,False,54,2,Photo,0.8127147472606369,13.842,14.953,20.003,199.98,90.0,505.516,3954.921,4941.1,4.98,93.185,30.003,1,50.959,G,436,472.77,106.535,True,54,1,Etching,72.076,51.556,1.057,248.0,263.57,300.35,357.18,2.7295000000000003,1,Implantation,1.141649e+16,6.874731e+16,3.723006e+17,3.005127e+17,5.999998e+17,32331.242,102.757,923.0,157,115,none,0.0,route_12111
